Sentence,NER
"during the three-month trial , the court dealt mainly with issues of the nsdap-ao 's "" ns kampfruf "" ( "" national socialist battle cry "" ) magazine , filled with references to aryan supremacy and defamatory statements about jews .",O O O O O O O O O O O O O I-ORG O O I-ORG I-ORG O O O I-ORG I-ORG I-ORG I-ORG O O O O O O O O I-MISC O O O O O I-MISC O
"the court rejected sieg 's argument that lauck 's extradition from denmark , where he was arrested in march last year at the request of german authorities , was illegal .",O O O I-PER O O O I-PER O O O I-LOC O O O O O O O O O O O O O I-MISC O O O O O
lauck was also convicted of disseminating the symbols of anti-constitutional organisations .,I-PER O O O O O O O O O O O
he will probably be free in around two and a half years .,O O O O O O O O O O O O O
the court ruled that the 15 months he has spent in custody since his arrest should be subtracted from his prison term .,O O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
"un official says iraqi deal will occur "" soon "" .",I-ORG O O I-MISC O O O O O O O
united nations 1996-08-22,I-ORG I-ORG O
"a senior u.n. official said on thursday he expected arrangements to implement the iraqi oil-for-food deal could be completed "" quite soon . """,O O I-ORG O O O O O O O O O O I-MISC O O O O O O O O O O
""" i am reluctant to speculate but we are doing the preparations and the secretary-general is anxious to start the program , "" said undersecretary-general yasushi akashi .",O O O O O O O O O O O O O O O O O O O O O O O O O I-PER I-PER O
""" it might be sooner than you think , "" he told reporters after briefing the security council on arrangements for monitors needed to carry out the agreement .",O O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O O O O O
akashi is head of the department of humanitarian affairs .,I-PER O O O O I-ORG I-ORG I-ORG I-ORG O
his deputy earlier speculated at least 10 days .,O O O O O O O O O
-docstart-,O
suspected killers of bishop dead -- algeria tv .,O O O O O O I-ORG I-ORG O
paris 1996-08-22,I-LOC O
"algerian security forces have shot dead three moslem guerrillas suspected of killing a leading french bishop in western algeria , the algerian state-run television said on thursday .",I-MISC O O O O O O I-MISC O O O O O O I-MISC O O O I-LOC O O I-MISC O O O O O O
"security forces also arrested four other men sought for giving support to the slain moslem rebels , the television said .",O O O O O O O O O O O O O O I-MISC O O O O O O
"the television , which did not say when the security forces killed the rebels , said the four arrested men confessed details of the assassination of the french roman catholic bishop pierre claverie .",O O O O O O O O O O O O O O O O O O O O O O O O O O O I-MISC I-MISC I-MISC O I-PER I-PER O
"the 58-year-old claverie was killed in august 1 in a bomb blast at his residence in the western algerian city of oran , hours after he met visiting french foreign minister herve de charette in algiers .",O O I-PER O O O O O O O O O O O O O O O I-MISC O O I-LOC O O O O O O I-MISC O O I-PER I-PER I-PER O I-LOC O
"an estimated 50,000 algerians and more than 110 foreigners have been killed in algeria 's violence pitting moslem rebels against the algerian government forces since early 1992 , when the authorities cancelled a general election in which radical islamists took a commanding lead .",O O O I-MISC O O O O O O O O O I-LOC O O O I-MISC O O O I-MISC O O O O O O O O O O O O O O O O I-MISC O O O O O
-docstart-,O
german flown cargo january-july rise 3.8 percent .,I-MISC O O O O O O O
frankfurt 1996-08-22,I-LOC O
the following table shows total flown air cargo volumes in tonnes handled at international german airports january-july 1996 .,O O O O O O O O O O O O O O I-MISC O O O O
the figures exclude trucked airfreight according to the german airports association adv .,O O O O O O O O I-MISC O O I-ORG O
"berlin ( total ) 17,844 up 5.9 pct",I-LOC O O O O O O O
"- tegel 10,896 up 3.1",O I-LOC O O O
- tempelhof 202 down 60.0,O I-LOC O O O
"- schoenefeld 6,746 up 16.8",O I-LOC O O O
"bremen 1,453 up 13.1",I-LOC O O O
dresden 792 up 11.4,I-LOC O O O
"duessseldorf 31,347 down 4.4",I-LOC O O O
"frankfurt 768,269 up 1.5",I-LOC O O O
"hamburg 21,240 down 3.5",I-LOC O O O
"hannover 6,030 up 15.3",I-LOC O O O
"koeln ( cologne ) 182,887 up 11.8",I-LOC O I-LOC O O O O
"leipzig / halle 1,806 up 45.6",I-LOC O I-LOC O O O
"munich 44,525 up 11.8",I-LOC O O O
muenster / osnabrueck 382 up 28.2,I-LOC O I-LOC O O O
"nuremberg 25,929 up 17.8",I-LOC O O O
saarbruecken 626 up 28.3,I-LOC O O O
"stuttgart 10,655 up 11.7",I-LOC O O O
"total 1,113,785 up 3.8",O O O O
- air cargo newsroom tel+44 161 542 7706 fax+44 171 542 5017,O I-ORG I-ORG I-ORG O O O O O O O O
-docstart-,O
paribas repeats buy on aegon after results .,I-ORG O O O I-ORG O O O
amsterdam 1996-08-22,I-LOC O
summary of aug 22 research .,O O O O O O
company-------------price---broker----------------,O
aegon 83.40 paribas,I-ORG O I-ORG
"comment : "" not only did aegon surprise with earnings of 711 million guilders , which were above the top of the expected range , it also forecast a similar performance in the second half . """,O O O O O O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"reiterates previous "" buy "" recommendation after results .",O O O O O O O O O
estimates ( dfl ) : eps p / e dividend,O O I-MISC O O O O O O O
1996 5.83 13.8 2.75,O O O O
1997 6.59 12.2 3.10,O O O O
"-- amsterdam newsroom , +31 20 504 5000 ( fax +31 20 504 5040 )",O I-LOC O O O O O O O O O O O O O
-docstart-,O
clinton 's ballybunion fans invited to chicago .,I-PER O I-ORG O O O I-LOC O
dublin 1996-08-22,I-LOC O
u.s. president bill clinton had to drop the resort of ballybunion from a whirlwind irish tour last year .,I-LOC O I-PER I-PER O O O O O O I-ORG O O O I-MISC O O O O
so ballybunion is going to america instead .,O I-ORG O O O I-LOC O O
"two residents of the atlantic resort , where clinton was to have played golf with the irish foreign minister dick spring , have been invited to the democratic party convention in chicago on august 26-29 .",O O O O I-LOC O O O I-PER O O O O O O O I-MISC O O I-PER I-PER O O O O O O I-MISC O O O I-LOC O O O O
"they have been asked to bring with them the placards they waved when clinton addressed ireland at a packed ceremony in dublin city centre on december 1 , last year .",O O O O O O O O O O O O O I-PER O I-LOC O O O O O I-LOC O O O O O O O O O
"they read : "" ballybunion backs clinton . """,O O O O I-ORG O I-PER O O
""" the democratic party have requested we bring our placards with us .",O O I-MISC O O O O O O O O O O
"we will be guests of the kennedys , "" said frank quilter , one of the two who have been invited to chicago .",O O O O O O I-PER O O O I-PER I-PER O O O O O O O O O O I-LOC O
clinton made a triumphant irish tour to back a northern ireland peace process but was forced to drop ballybunion from a packed schedule at the last minute .,I-PER O O O I-MISC O O O O I-LOC I-LOC O O O O O O O I-ORG O O O O O O O O O
-docstart-,O
bonn says moscow has promised to observe ceasefire .,I-LOC O I-LOC O O O O O O
bonn 1996-08-22,I-LOC O
germany said on thursday it had received assurances from the russian government that its forces would observe the latest ceasefire in chechnya .,I-LOC O O O O O O O O O I-MISC O O O O O O O O O O I-LOC O
foreign ministry spokesman martin erdmann said top bonn diplomat wolfgang ischinger had been assured by senior russian officials that the ultimatum to storm and take the chechen capital of grozny was not valid .,I-ORG I-ORG O I-PER I-PER O O I-LOC O I-PER I-PER O O O O O I-MISC O O O O O O O O O I-MISC O O I-LOC O O O O
""" the russian side confirmed that the ceasefire is in place and they will keep to it , "" erdmann told reuters after speaking by telephone to ischinger , who had met the officials on a two-day visit to moscow .",O O I-MISC O O O O O O O O O O O O O O O O I-PER O I-ORG O O O O O I-PER O O O O O O O O O O O I-LOC O
he returned to bonn on thursday .,O O O I-LOC O O O
ischinger is the political director of bonn 's foreign ministry .,I-PER O O O O O I-LOC O O O O
"ischinger said he met three russian deputy foreign ministers and a vice defence minister , who confirmed russian foreign minister yevgeny primakov 's pledge that moscow would seek a political solution under the aegis of the organisation for security and cooperation in europe ( osce ) .",I-PER O O O O I-MISC O O O O O O O O O O O I-MISC O O I-PER I-PER O O O I-LOC O O O O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O
""" the ultimatum ( to storm grozny ) is no longer an issue , "" he said quoting ischinger , who had been sent to moscow by german foreign minister klaus kinkel as his personal envoy to urge an end to moscow 's military campaign in the breakaway region .",O O O O O O I-LOC O O O O O O O O O O O I-PER O O O O O O I-LOC O I-MISC O O I-PER I-PER O O O O O O O O O I-LOC O O O O O O O O
ischinger said the threat of a major assault to take grozny had been the unauthorised initiative of the commanding general and not moscow 's intention .,I-PER O O O O O O O O O I-LOC O O O O O O O O O O O I-LOC O O O
"the officials had been positive about kinkel 's request on wednesday that president boris yeltsin 's security chief alexander lebed should , on his return to moscow , meet tim goldiman , the osce representative responsible for chechnya , he said .",O O O O O O I-PER O O O O O O I-PER I-PER O O O I-PER I-PER O O O O O O I-LOC O O I-PER I-PER O O I-ORG O O O I-LOC O O O O
-docstart-,O
"india says sees no arms race with china , pakistan .",I-LOC O O O O O O I-LOC O I-LOC O
new delhi 1996-08-22,I-LOC I-LOC O
india said on thursday that its opposition to a global nuclear test ban treaty did not mean new delhi intended to enter into an arms race with neighbouring pakistan and china .,I-LOC O O O O O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O I-LOC O I-LOC O
foreign minister i.k. gujral was asked at a news conference if india 's decision to block adoption of the accord in geneva would lead to an arms race with pakistan and china .,O O I-PER I-PER O O O O O O O I-LOC O O O O O O O O O I-LOC O O O O O O O I-LOC O I-LOC O
""" i do n't see that possibility because india is not entering into any arms race , "" he said . """,O O O O O O O O I-LOC O O O O O O O O O O O O O
"our not signing a new treaty does not mean we are going in for any new kind of weapons , particularly nuclear . """,O O O O O O O O O O O O O O O O O O O O O O O O
"china , along with britain , france , russia and the united states , is a declared nuclear power .",I-LOC O O O I-LOC O I-LOC O I-LOC O O I-LOC I-LOC O O O O O O O
india carried out a nuclear test in 1974 but says it has not built the bomb .,I-LOC O O O O O O O O O O O O O O O O
experts believe both india and pakistan could quickly assemble nuclear weapons .,O O O I-LOC O I-LOC O O O O O O
gujral said he did not expect india 's veto of the comprehensive test ban treaty ( ctbt ) to damage bilateral ties with other nations .,I-PER O O O O O I-LOC O O O O I-MISC I-MISC I-MISC I-MISC O I-MISC O O O O O O O O O
""" i do not visualise its straining our bilateral relations with any country .",O O O O O O O O O O O O O O
"the text has already been blocked , "" he said .",O O O O O O O O O O O
"gujral said india would re-examine its position if the treaty , particularly a clause providing for its entry into force , was modified .",I-PER O I-LOC O O O O O O O O O O O O O O O O O O O O O
"asked what india would do if the pact were forwarded to the united nations general assembly , gujral said : "" that bridge i will cross when i come to it . """,O O I-LOC O O O O O O O O O I-ORG I-ORG I-ORG I-ORG O I-PER O O O O O O O O O O O O O O O
"in a written statement released at the news conference , gujral reiterated india 's objections to the treaty , under negotiation at the conference on disarmament in geneva .",O O O O O O O O O O I-PER O I-LOC O O O O O O O O O O I-MISC I-MISC I-MISC O I-LOC O
